date,alpha,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,solver,max_plan_audit,plan_mutual_count
2025-02-07,0.0,2114.9921521410943,1964.5471375830684,43242.55970200725,0.0,18046.479702353783,0.0,18046.479702353783,3213.6569815925923,4695.309410082307,19280.600825094254,15752.68718142857,18133.682898367126,LP,9.094947017729282e-13,0
2025-02-07,0.25,2114.9921521410943,1964.5471375830684,43109.618555317065,0.0,18119.365218644587,0.0,18119.365218644587,3034.859262095236,4861.005378774259,18649.86716254281,15241.792914761903,18206.56841465793,LP,9.094947017729282e-13,0
2025-02-07,0.5,2114.9921521410943,1964.5471375830684,43109.618555317065,0.0,18119.365218644587,0.0,18119.365218644587,3034.859262095236,4861.005378774259,18649.86716254281,15241.792914761903,18206.56841465793,LP,9.094947017729282e-13,0
2025-02-07,0.75,2114.9921521410943,1964.5471375830684,43109.618555317065,0.0,18114.386795496866,0.0,18114.386795496866,3034.859262095236,4861.005378774259,18649.86716254281,15241.792914761903,18201.58999151021,LP,9.094947017729282e-13,0
2025-02-07,1.0,2114.9921521410943,1964.5471375830684,43109.618555317065,0.0,18114.386795496866,0.0,18114.386795496866,3034.859262095236,4861.005378774259,18649.86716254281,15241.792914761903,18201.58999151021,LP,9.094947017729282e-13,0
2025-02-08,0.0,1964.5471375830684,2238.8040688253936,42148.55391451029,0.0,17750.83170847983,0.0,17750.83170847983,2704.6272819047617,4052.0446478183458,18778.358052644322,14963.638784523811,17592.279319853507,LP,9.841016890277388e-13,0
2025-02-08,0.25,1964.5471375830684,2238.8040688253936,42148.55391451029,0.0,17748.070053466974,0.0,17748.070053466974,2635.152068928571,4121.519860794537,18778.358052644322,14963.638784523811,17589.517664840652,LP,9.841016890277388e-13,0
2025-02-08,0.5,1964.5471375830684,2238.8040688253936,42017.5427209124,0.0,17767.553538125714,0.0,17767.553538125714,2627.477961309524,4118.710369465903,18144.002291327455,14449.810617857143,17609.001149499392,LP,9.841016890277388e-13,0
2025-02-08,0.75,1964.5471375830684,2238.8040688253936,42017.5427209124,0.0,17767.553538125714,0.0,17767.553538125714,2627.477961309524,4118.710369465903,18144.002291327455,14449.810617857143,17609.001149499392,LP,9.841016890277388e-13,0
2025-02-08,1.0,1964.5471375830684,2238.8040688253936,42017.5427209124,0.0,17767.553538125714,0.0,17767.553538125714,2627.477961309524,4118.710369465903,18144.002291327455,14449.810617857143,17609.001149499392,LP,9.841016890277388e-13,0
