load_kwh,pv_kwh,e_start,e_end,charge_kwh,discharge_kwh,pv_load_kwh,grid_load_kwh,pv_charge_kwh,grid_charge_kwh,pv_spill_kwh,paid_grid_spill_kwh,emergency_kwh,slot,price,emergency_cost,total_cost,strategy,date,issue_hour,plan_version,ordinary_kwh,ordinary_cost,adjustment_cost
549.8448166666667,0.0,1936.8341056296315,2686.8341056296313,833.3333333333333,0.0,0.0,549.8448166666667,0.0,833.3333333333333,0.0,35.911074666666764,0.0,0,0.4248,0.0,602.8291026384001,rolling_margin,2025-03-20,0,0,1419.0892246666667,602.8291026384001,0.0
570.3135,0.0,2686.8341056296313,3436.8341056296313,833.3333333333333,0.0,0.0,570.3135,0.0,833.3333333333333,0.0,12.833348000000115,0.0,1,0.4245,0.0,601.295836976,rolling_margin,2025-03-20,0,0,1416.4801813333333,601.295836976,0.0
613.8516666666667,0.0,3436.8341056296313,4153.342952829631,796.1209413333331,0.0,0.0,613.8516666666667,0.0,796.1209413333331,0.0,0.0,0.0,2,0.4269,0.0,601.9173063551999,rolling_margin,2025-03-20,0,0,1409.9726079999998,601.9173063551999,0.0
579.4561666666666,0.0,4153.342952829631,4903.342952829631,833.3333333333333,0.0,0.0,579.4561666666666,0.0,833.3333333333333,0.0,17.203014666666604,0.0,3,0.4272,0.0,610.8928022655999,rolling_margin,2025-03-20,0,0,1429.9925146666665,610.8928022655999,0.0
550.4449166666666,0.0,4903.342952829631,5653.342952829631,833.3333333333333,0.0,0.0,550.4449166666666,0.0,833.3333333333333,0.0,56.26839800000016,0.0,4,0.4271,0.0,615.0439233608,rolling_margin,2025-03-20,0,0,1440.046648,615.0439233608,0.0
571.1566666666666,0.0,5653.342952829631,6403.342952829631,833.3333333333333,0.0,0.0,571.1566666666666,0.0,833.3333333333333,0.0,30.00160799999992,0.0,5,0.4285,0.0,614.679654028,rolling_margin,2025-03-20,0,0,1434.4916079999998,614.679654028,0.0
601.5890499999999,0.0,6403.342952829631,6402.518449125927,0.0,0.7420533333332742,0.0,600.8469966666667,0.0,0.0,0.0,0.0,0.0,6,0.4311,0.0,259.02514026299997,rolling_margin,2025-03-20,0,0,600.8469966666667,259.02514026299997,0.0
611.48375,0.0,6402.518449125927,7135.177024125927,814.0650833333333,0.0,0.0,611.48375,0.0,814.0650833333333,0.0,0.0,0.0,7,0.4302,0.0,613.2711081,rolling_margin,2025-03-20,0,0,1425.5488333333333,613.2711081,0.0
598.2166666666667,0.0,7135.177024125927,7864.6414841259275,810.5160666666666,0.0,0.0,598.2166666666667,0.0,810.5160666666666,0.0,0.0,0.0,8,0.4279,0.0,602.7967365933333,rolling_margin,2025-03-20,0,0,1408.7327333333333,602.7967365933333,0.0
583.9359499999999,0.0,7864.6414841259275,7868.987680125928,4.829106666666689,0.0,0.0,583.9359499999999,0.0,4.829106666666689,0.0,0.0,0.0,9,0.4312,0.0,253.87549243466665,rolling_margin,2025-03-20,0,0,588.7650566666666,253.87549243466665,0.0
590.99505,0.0,7868.987680125928,7876.694416125928,8.56304,0.0,0.0,590.99505,0.0,8.56304,0.0,0.0,0.0,10,0.4333,0.0,259.788520397,rolling_margin,2025-03-20,0,0,599.55809,259.788520397,0.0
598.4433333333333,0.0,7876.694416125928,8484.734570496297,675.600171522632,0.0,0.0,598.4433333333333,0.0,675.600171522632,0.0,0.0,0.0,11,0.4311,0.0,549.2401549434065,rolling_margin,2025-03-20,0,0,1274.0435048559652,549.2401549434065,0.0
