strategy,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_margin,2025-02-01,47253.8013563007,0.0,26732.01180798317,1688.642361847143,0.0,28420.65416983031,5872.970534824123,3480.206393494512,3910.1342045925076,4250.615394211112,3,2,0
rolling_margin,2025-02-02,92935.01197457672,0.0,61460.43981381018,1785.2753230927278,0.0,63245.71513690291,11318.191324018711,59.174066666666704,4250.615394211112,3773.6705747301576,3,2,0
rolling_margin,2025-02-03,92592.45891414468,0.0,60346.39682924097,2456.401552436421,0.0,62802.79838167739,8875.503586631941,0.0,3773.6705747301576,3407.856422769841,3,2,0
rolling_margin,2025-02-04,93247.8844033779,0.0,60911.336552979075,2533.1330563166057,0.0,63444.46960929568,8366.425408252499,0.3517833333332874,3407.856422769841,3152.6741541684314,3,2,0
rolling_margin,2025-02-05,90960.0014720336,0.0,58628.92156443581,1196.6987120022525,0.0,59825.620276438065,6373.017365171958,2.052500000000009,3152.6741541684314,2947.5830148906534,3,2,0
rolling_margin,2025-02-06,90085.29379166273,0.0,57436.27315863042,3536.9567949730636,0.0,60973.229953603484,5884.035169696246,1.400816666666742,2947.5830148906534,2689.4361424761937,3,2,0
rolling_margin,2025-02-07,43080.70827190966,0.0,22707.066120562067,1522.9373116942427,0.0,24230.00343225631,3095.0544776984116,4930.68493404076,2689.4361424761937,2434.093872598766,3,2,0
rolling_margin,2025-02-08,40248.87271476877,0.0,21362.004598542295,383.98343937078675,0.0,21745.98803791308,1351.8017262571097,3459.3507411522637,2434.093872598766,2797.611481450617,3,2,0
rolling_margin,2025-02-09,89444.23413977267,0.0,57258.9264128043,1735.453800496038,0.0,58994.38021330034,6211.6297390633,0.0,2797.611481450617,2457.6406079656063,3,2,0
rolling_margin,2025-02-10,82237.09809901804,0.0,51879.45931591092,3695.938860593368,0.0,55575.39817650429,3918.841135342329,193.20466666666675,2457.6406079656063,2128.496936488887,3,2,0
rolling_margin,2025-02-11,82587.3296904759,0.0,51790.24749818548,2687.4234767797043,0.0,54477.670974965185,3167.7253488806564,198.7712699657084,2128.496936488887,1943.1331889580247,3,2,0
rolling_margin,2025-02-12,82198.3390421458,0.0,51539.64117235016,2552.4215641297415,0.0,54092.0627364799,2574.7472005212558,58.95943333333321,1943.1331889580247,1937.4810885308618,3,2,0
rolling_margin,2025-02-13,79382.75512383894,2.25129000000004,49343.13230377032,1980.2339271770757,9.859524555000176,51333.2257555024,3779.617403263376,118.10408333333339,1937.4810885308618,1912.6357403037023,3,2,1
