date,strategy,e_start,e_end,emergency_slots,solver,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh
2025-02-01,control,10800.0,10800.0,0,LP,86974.12187833509,0.0,56023.323440625005,0.0,56023.323440625005,41718.84783721379,9402.70998374485
2025-02-02,control,10800.0,6786.523534773542,0,LP,86392.78073561905,0.0,55609.19109920507,0.0,55609.19109920507,8262.261950328433,49.9313425044107
2025-02-03,control,6786.523534773542,6479.320807349205,0,LP,88848.82578506408,0.0,56028.46179508557,0.0,56028.46179508557,4667.119706564382,0.0
2025-02-04,control,6479.320807349205,6518.763534042329,0,LP,88280.8657127278,0.0,55511.24994318842,0.0,55511.24994318842,2415.796945490899,0.0
2025-02-05,control,6518.763534042329,6370.807255888887,3,LP,87157.5352963786,60.641502942853435,54750.992720990995,319.46520964355784,55070.457930634555,2025.3317279717814,0.0
2025-02-06,control,6370.807255888887,6405.565453253974,3,LP,87232.90806410345,58.910591428571706,54797.48634226571,338.2174838347635,55135.70382610047,2486.8625647854183,0.0
2025-02-07,control,6405.565453253974,10800.0,0,LP,86676.12702800705,0.0,54365.520298347314,0.0,54365.520298347314,37491.15527412698,10777.892583333332
2025-02-08,control,10800.0,10800.0,0,LP,80779.41515552027,0.0,51669.902439576545,0.0,51669.902439576545,36750.85712621398,10893.545247325103
2025-02-09,control,10800.0,6242.616883592591,0,LP,80380.08629186948,0.0,51386.32680162893,0.0,51386.32680162893,1267.9097371898915,0.0
2025-02-10,control,6242.616883592591,6016.427758947088,0,LP,85687.7969361258,0.0,53631.07182761974,0.0,53631.07182761974,7110.554351922402,443.37197025279494
2025-02-11,control,6016.427758947088,6103.285073571428,5,LP,85033.9866392475,49.08824533809734,53069.32820084637,231.46050799652883,53300.7887088429,5315.10535761317,166.04902603174085
2025-02-12,control,6103.285073571428,6097.750595317461,1,LP,83927.26694294532,6.12250333333327,52333.18911015169,28.67780561333304,52361.86691576502,4206.073441975312,163.38428333333331
2025-02-13,control,6097.750595317461,6278.388666555553,1,LP,82949.08469750146,12.513333333333321,51715.95900703832,56.92940999999995,51772.888417038324,7027.632151146384,558.6377833333336
2025-02-14,control,6278.388666555553,10800.0,0,LP,81265.75219358613,0.0,50548.042876294276,0.0,50548.042876294276,32528.4292375191,12277.90595452675
2025-02-15,control,10800.0,10800.0,0,LP,75949.93920342739,0.0,48174.06277374717,0.0,48174.06277374717,32005.129025555558,12968.524755555554
2025-02-16,control,10800.0,6220.4347202486815,2,LP,75586.18591142933,63.25114619047622,47879.401364883546,286.1611947411906,48165.56255962474,897.7692399706054,0.0
2025-02-17,control,6220.4347202486815,6020.716174978837,1,LP,80095.95106991415,44.54333333333341,49558.498556251296,202.64989500000036,49761.1484512513,4371.218748054087,794.4812
2025-02-18,control,6020.716174978837,6312.7928879047595,2,LP,79753.8554145108,37.641919523809634,49188.07374433904,171.71395438285765,49359.78769872189,3075.599131604939,95.83631069958746
2025-02-19,control,6312.7928879047595,5882.761505338624,6,LP,79012.87246399153,111.85618238095242,48731.042491530825,496.47702151333357,49227.519513044164,2143.9374450499636,0.0
2025-02-20,control,5882.761505338624,6428.245464460317,3,LP,79108.38523495391,39.87716047619017,48666.03539844539,183.48455902142717,48849.519957466815,3273.863199541442,0.0
2025-02-21,control,6428.245464460317,10800.0,0,LP,78192.7909302469,0.0,48197.45619683492,0.0,48197.45619683492,30473.842354644326,15593.675337448556
2025-02-22,control,10800.0,10786.923935449735,0,LP,72719.6818725044,0.0,45732.95217358106,0.0,45732.95217358106,29652.481418007046,13452.034244650205
2025-02-23,control,10786.923935449735,6194.9209586031775,2,LP,72539.96517770135,52.21295952380956,45596.926896208024,239.55492907619063,45836.481825284216,1749.5565480364492,0.0
2025-02-24,control,6194.9209586031775,6116.31709765079,3,LP,76959.81288550264,39.0894428571429,47251.82090503736,178.06746771190498,47429.88837274927,3817.4000245385023,967.5018999999999
2025-02-25,control,6116.31709765079,6138.63470266667,2,LP,76537.95127991769,71.12787857142848,46970.56752553963,320.06716087023773,47290.63468640987,5285.9444155849405,1545.8397333333332
2025-02-26,control,6138.63470266667,6126.199097830688,3,LP,75270.26850965901,30.85013549999951,46140.64662118725,147.79411175156787,46288.44073293882,1666.4234154144542,605.2267666666664
2025-02-27,control,6126.199097830688,6362.604572000002,7,LP,74928.80110252203,417.5303494714285,45834.42172890134,2035.5036732079545,47869.92540210929,3228.6087394709007,506.5635999999982
2025-02-28,control,6362.604572000002,10800.0,0,LP,74050.0778403586,0.0,45372.13431540637,0.0,45372.13431540637,27634.495446766607,16348.233119494413
2025-03-01,control,10800.0,10800.0,0,LP,68759.3876961552,0.0,43055.752267554504,0.0,43055.752267554504,28085.500882804237,15184.94057208113
2025-03-02,control,10800.0,6008.9356055291,9,LP,68136.98965159318,3950.608326033325,42673.317817379284,26725.044623329697,69398.36244070898,1168.8905396061143,0.0
2025-03-03,control,6008.9356055291,5999.2835638042325,14,LP,74070.92351209876,3114.662357004764,45293.00867143515,18785.076439779405,64078.08511121456,973.5336977660168,0.0
2025-03-04,control,5999.2835638042325,6165.996600772489,0,LP,75228.16660123457,0.0,46039.60446566441,0.0,46039.60446566441,1400.517979506169,0.0
2025-03-05,control,6165.996600772489,6207.556539719577,1,LP,75545.94498426218,3.286666666666747,46255.54809901706,14.952690000000366,46270.50078901706,4959.660423151078,313.6497887830705
2025-03-06,control,6207.556539719577,6465.014111777776,0,LP,75003.14417884809,0.0,45921.39954474259,0.0,45921.39954474259,3928.4223332863075,803.271483333333
2025-03-07,control,6465.014111777776,10800.0,0,LP,74353.17629251028,0.0,45511.61891147865,0.0,45511.61891147865,29960.966948459725,16951.06685345679
2025-03-08,control,10800.0,10800.0,0,LP,69204.39987755437,0.0,43323.79398957943,0.0,43323.79398957943,29350.855089259258,19055.38739313933
2025-03-09,control,10800.0,6292.818889904767,0,LP,68456.8141210288,0.0,42797.62928095768,0.0,42797.62928095768,4699.282082357438,1391.5053957201644
2025-03-10,control,6292.818889904767,6124.655842730158,4,LP,71761.5060412228,451.4920702857148,43775.94643131566,2933.190204721719,46709.13663603738,221.16577014109123,0.0
2025-03-11,control,6124.655842730158,6368.889646365081,0,LP,71748.98279725455,0.0,43624.85510531417,0.0,43624.85510531417,2693.2071593356795,879.0601934273941
2025-03-12,control,6368.889646365081,6157.937212169311,0,LP,70888.59165025278,0.0,43086.920021074664,0.0,43086.920021074664,3336.082256290412,1352.0776064079976
2025-03-13,control,6157.937212169311,6264.7677569206335,8,LP,70493.49931600234,1658.6561199238083,42747.6355298732,10413.0568083427,53160.6923382159,504.4379629629636,0.0
2025-03-14,control,6264.7677569206335,10800.0,0,LP,71083.15843489123,0.0,43084.27256778199,0.0,43084.27256778199,28356.463443486176,19876.655420047027
2025-03-15,control,10800.0,10793.148004232804,0,LP,65336.768194902994,0.0,40494.27347195545,0.0,40494.27347195545,27321.061262075244,15280.119727154613
2025-03-16,control,10793.148004232804,6516.667534402118,1,LP,65615.30766140505,1.6400000000001,40648.57275010159,7.461180000000455,40656.0339301016,2793.606076837147,180.25728333333336
2025-03-17,control,6516.667534402118,6386.960405285714,0,LP,70193.5505507525,0.0,42487.29111634881,0.0,42487.29111634881,6572.6470698118865,2213.092833333333
2025-03-18,control,6386.960405285714,6456.933500095241,6,LP,68793.49230880682,536.893734480948,41555.41521326099,2641.1619719307564,44196.577185191745,2923.3358782010523,1098.8390504761903
2025-03-19,control,6456.933500095241,6451.0010871904815,2,LP,68344.46029094061,92.60199241904333,41273.762722989726,439.9009793656935,41713.66370235542,3339.142375949438,1517.5137
2025-03-20,control,6451.0010871904815,6279.200642063492,1,LP,67807.11060656671,96.79777487143053,40927.416301963494,675.2612775030994,41602.677579466595,911.8029108171701,825.1611995532037
2025-03-21,control,6279.200642063492,10800.0,0,LP,67233.8024582716,0.0,40565.59020289874,0.0,40565.59020289874,25436.180629976487,22858.098943333327
2025-03-22,control,10800.0,10800.0,0,LP,61626.29533084655,0.0,38077.51024830749,0.0,38077.51024830749,25041.31008435626,18923.27478818929
2025-03-23,control,10800.0,6151.852837925924,0,LP,60899.38421547324,0.0,37642.6710623,0.0,37642.6710623,2145.7000545620226,1067.6562717048746
2025-03-24,control,6151.852837925924,6278.197455486772,0,LP,65481.51491544973,0.0,39430.19140320826,0.0,39430.19140320826,1361.591879300403,1929.6178978365665
2025-03-25,control,6278.197455486772,6048.434148724867,2,LP,65473.42872177542,24.74056828095138,39447.845248151214,116.1603216434552,39564.005569794674,613.2744569194481,0.0
2025-03-26,control,6048.434148724867,6207.701352693121,0,LP,65984.16316641975,0.0,39676.72307322216,0.0,39676.72307322216,3805.189687572009,2527.7386500000002
2025-03-27,control,6207.701352693121,6257.048361809525,0,LP,65244.23872862433,0.0,39212.75343079376,0.0,39212.75343079376,1808.631336784244,628.715159776594
2025-03-28,control,6257.048361809525,10800.0,0,LP,64817.839535232204,0.0,38896.835050420545,0.0,38896.835050420545,24166.91489417988,22960.560151152265
2025-03-29,control,10800.0,10800.0,0,LP,59591.60769935332,0.0,36681.261205880095,0.0,36681.261205880095,23350.199895972954,26739.033265449732
