method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
mean14,dev_april,development,14,689882.8045394627,4890.2401617761825,388288.0777329834,31087.304559794262,419375.38229277765,20036.947280510303,108776.62285572253,241371.61118246792,195492.94133412855,1618.0719069862432,1638.142711064552,0.6869833333333333,419362.9728156781,14,4,7.747126397185235e-11
mean14,val_june,validation,14,1019124.9882847612,95.86818352380942,680949.1538557679,663.9693182080946,681613.1231739761,118018.61994739453,45320.34279470666,236771.5287687877,190582.46419260377,1781.3549957153423,3117.437340286773,0.7637298611111111,680694.7577888687,8,1,1.1368683772161603e-12
mean14,val_august,validation,14,917723.5287360888,2252.598847625693,638459.477032652,15309.00673646763,653768.4837691196,29758.400498767798,86671.0659340976,252375.61012182245,204228.41173764,2178.160729337569,2395.7523527111116,0.7965640873015873,653612.4906635303,31,4,4.092726157978177e-12
mean14,eval_september,evaluation,14,825032.6500245559,976.1325499999984,526339.4720613227,5205.617542341658,531545.0896036644,47767.88352571309,93220.95301878777,241673.5070044503,197363.60697439522,4786.2408636984155,2999.5005294867733,0.7184592261904762,532700.4196737933,8,4,4.042198674546348e-12
mean14,eval_december,evaluation,14,1189235.8092467864,28.02018466666675,840716.4356093083,207.1730520160006,840923.6086613243,68971.63065548736,6093.170895774245,308950.3731359059,249875.84122238093,1451.3861965089911,1866.898438401062,0.857148759920635,840603.0684387416,2,0,1.0231815394945443e-12
saa_load,dev_march,development,14,833156.5064723548,0.0,516566.6602353708,0.0,516566.6602353708,28380.74660730916,51503.93193549443,239943.479356776,192915.86461055808,1607.6682326867735,3205.838975387299,0.7306390376984127,515515.74289519875,0,0,4.774847184307873e-12
saa_load,dev_april,development,14,686089.224316395,4723.345095560007,389092.46457583114,29990.454993232863,419082.919569064,15479.903123101607,109438.52216814419,238555.10850223576,192741.76909819324,1618.0719069862432,2160.1483387837443,0.6869833333333333,418747.76184243005,16,0,5.7980287238024175e-12
saa_load,val_june,validation,14,970896.9766208032,0.0,679505.4598169202,0.0,679505.4598169202,77394.07166252592,43288.65277633522,202438.1800120578,161916.75698011564,1781.3549957153423,4068.209250883297,0.7637298611111111,677933.5748225076,0,0,7.503331289626658e-12
saa_load,val_august,validation,14,914556.294447125,1758.2851025659795,639892.7888579243,11346.870612443268,651239.6594703676,26256.106550896624,87683.01420192707,245104.48769880348,198128.4916686028,2178.160729337569,2629.4311375909456,0.7965640873015873,650916.1402495786,16,0,2.376054908381775e-11
saa_load,eval_september,evaluation,14,809988.7318820502,379.5298666190465,527182.765400292,1981.4878560374227,529164.2532563295,28501.718742069163,100138.61582578646,223103.87905225207,182085.99787143845,4786.2408636984155,3261.9565980158736,0.7184592261904762,530149.8757409444,5,0,8.901679393602535e-11
saa_load,eval_december,evaluation,14,1153830.0935356119,0.0,841439.0496413397,0.0,841439.0496413397,41050.24608494899,3121.193108574955,275949.7577119102,221415.59933648884,1451.3861965089911,3788.8355411294924,0.857148759920635,839635.8620149328,0,0,4.092726157978177e-12
saa_joint,dev_march,development,14,835733.0586688761,0.0,516522.08986349363,0.0,516522.08986349363,29436.011198056694,53475.691667617866,242066.70749694062,195489.56487707238,1607.6682326867735,2257.0773387417935,0.7306390376984127,516095.0545836051,0,0,7.16227077646181e-12
saa_joint,dev_april,development,14,686343.9580522841,4757.979396638452,389187.69255938515,30168.285965024785,419355.97852440993,15820.598119757919,109567.19120884068,237852.11132231329,192218.76791865594,1618.0719069862432,2108.563298561633,0.6869833333333333,419052.71505436976,16,0,7.275957614183426e-12
saa_joint,val_june,validation,14,963192.2685302194,0.0,680400.7550350031,0.0,680400.7550350031,71270.30323263671,43134.132888422806,194795.4163093131,155700.41305015312,1781.3549957153423,4096.7707294825395,0.7637298611111111,678809.2381119151,0,0,2.6716406864579767e-11
saa_joint,val_august,validation,14,914781.7236765798,1880.6881643296938,640305.7109561271,12443.566697062906,652749.2776531901,25517.363193897352,88566.58668836777,246024.7902275557,198845.79103557797,2178.160729337569,2660.704116828883,0.7965640873015873,652403.3385934536,16,0,4.120181882156342e-10
saa_joint,eval_september,evaluation,14,808893.8564781403,389.54306611904616,526961.9211125502,2033.4463482429207,528995.3674607931,29560.646889352665,97898.19267038167,223583.51914742513,182469.00516290008,4786.2408636984155,3268.0690264920668,0.7184592261904762,529977.0375678382,5,0,1.2280452210688964e-09
saa_joint,eval_december,evaluation,14,1154316.7701258063,0.0,841965.6044825717,0.0,841965.6044825717,41252.90005986269,3022.196916221015,278385.1807612869,223468.00357823094,1451.3861965089911,3700.2671280772443,0.857148759920635,840230.7415310391,0,0,9.592326932761343e-12
saa_shuffled,dev_march,development,14,836168.9654118619,0.0,516307.29318268807,0.0,516307.29318268807,29771.48808809585,53391.38961288535,243038.9806952519,196277.1061677045,1607.6682326867735,2257.077338741793,0.7306390376984127,515880.2579027995,0,0,1.801625515440719e-11
saa_shuffled,dev_april,development,14,686470.9039303573,4757.979396638451,389248.6526955217,30168.299980588126,419416.95267610985,15743.624033572512,109637.63214183423,238561.86326340376,192795.0408284814,1618.0719069862432,2107.036812403647,0.6869833333333333,419114.63300956384,16,0,6.366462912410498e-12
saa_shuffled,val_june,validation,14,962321.3756527723,0.0,680327.1987882635,0.0,680327.1987882635,70652.48655738101,43308.570366543194,192534.20429433833,153866.7147154902,1781.3549957153423,4099.122510075133,0.7637298611111111,678734.0653526166,0,0,7.219114195322618e-11
saa_shuffled,val_august,validation,14,914884.6443212765,1880.6881643296954,640196.599151043,12443.566697062915,652640.1658481059,25610.877564141498,88487.77999302423,246472.44087675336,199205.2287149795,2178.160729337569,2664.214501771739,0.7965640873015873,652291.7101664492,16,0,2.5920599000528455e-11
saa_shuffled,eval_september,evaluation,14,808554.9261039606,389.54306611904593,527055.1937800465,2033.4463482429196,529088.6401282895,29389.84087702989,97827.60202934762,223070.18377467326,182053.20351097107,4786.2408636984155,3268.0690264920613,0.7184592261904762,530070.3102353346,5,0,2.3646862246096134e-11
saa_shuffled,eval_december,evaluation,14,1154460.5324926933,0.0,841962.4725439029,0.0,841962.4725439029,41243.51989529612,3014.128126097552,278926.0696718054,223847.68116717244,1451.3861965089911,3765.2031598311733,0.857148759920635,840177.5157371875,0,0,4.547473508864641e-12
oracle_actual,dev_march,development,14,795572.6604655887,2.120970066243899e-12,463772.87792131625,7.996208140070849e-12,463772.87792131625,5.002220859751105e-12,32644.766400000004,300266.22258775536,243582.54170549999,1607.6682326867735,1200.0000000000014,0.7306390376984127,464040.95041402365,0,4,1.6484591469634324e-12
oracle_actual,dev_april,development,14,646653.0246902169,3.0681235330121127e-12,359082.899445328,1.058999004044381e-11,359082.899445328,2.4202861936828413e-12,76933.05558333333,263239.1005605502,213599.93617033333,1618.0719069862432,1200.0,0.6869833333333333,359341.38703433896,0,7,5.1954884838778526e-11
oracle_actual,val_june,validation,14,887868.4391145426,1.0826894936144527e-12,573259.0340017023,2.228418960470435e-12,573259.0340017023,9.450218385609332e-12,25958.291198559684,277581.7803269829,225364.46156099997,1781.3549957153423,1200.0000000000016,0.7637298611111111,573658.6323548228,0,4,5.059064278611913e-12
oracle_actual,val_august,validation,14,867080.8194615529,1.043076736095827e-12,600741.5069436944,3.0395945316286088e-12,600741.5069436944,3.346656285430072e-12,62605.203616666666,262928.9354453862,213852.78236716666,2178.160729337569,1200.0000000000002,0.7965640873015873,601442.7578814336,0,5,2.120259523508139e-11
oracle_actual,eval_september,evaluation,14,756901.323786763,5.7640114903279026e-12,458270.8823438647,2.3308030794311206e-11,458270.8823438647,3.126388037344441e-12,65730.25721666668,282571.775512763,232110.75494266665,4786.2408636984155,1200.0,0.7184592261904762,460589.7933961436,0,6,1.255102688446641e-11
oracle_actual,eval_december,evaluation,14,1119530.7323081999,1.7962520360015334e-12,775267.5323154018,9.058504701897619e-12,775267.5323154018,4.526157226791838e-12,3.460343123151688e-12,340170.96799153317,275764.73165,1451.3861965089911,1200.0,0.857148759920635,775461.4601453408,0,0,3.5369238402280542e-12
