日期,时间段,充电量（kWh）,放电量（kWh）,时刻,储电量（kWh）
2025-03-20,00:00-04:00,7698.575760666666,36.769302000000266,00:00,2060.98474157037
2025-03-20,04:00-08:00,2424.6482055249885,5038.257516666667,24:00,1550.5062194888894
2025-03-20,08:00-12:00,6271.698716380952,2777.3772166666668,,
2025-03-20,12:00-16:00,3335.6210344362116,401.38449876190543,,
2025-03-20,16:00-20:00,126.79808180952364,7199.681115619047,,
2025-03-20,20:00-24:00,469.7393006666673,1470.8967107419053,,
2025-06-21,00:00-04:00,622.4835710476194,89.38845537809891,00:00,2884.6010395206395
2025-06-21,04:00-08:00,1352.214453809524,1719.9539666666662,24:00,3117.437340286773
2025-06-21,08:00-12:00,9053.945785607288,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,0.0,5348.959296285712,,
2025-06-21,20:00-24:00,1136.480846761905,2485.896583333333,,
2025-09-23,00:00-04:00,6097.563454044675,0.0,00:00,3230.9975513597915
2025-09-23,04:00-08:00,2430.3765131216937,5751.116684952382,24:00,3015.186272931218
2025-09-23,08:00-12:00,5683.97496,1896.6157166666662,,
2025-09-23,12:00-16:00,3959.4130721575502,462.2050928571424,,
2025-09-23,16:00-20:00,421.62002523809565,5745.90277190476,,
2025-09-23,20:00-24:00,1254.094723333333,2414.4945099999995,,
2025-12-21,00:00-04:00,9965.09417989888,108.39404666666701,00:00,1872.7814958687843
2025-12-21,04:00-08:00,94.93006807759984,825.0476188571428,24:00,1866.898438401062
2025-12-21,08:00-12:00,5948.083952190477,7096.847165904761,,
2025-12-21,12:00-16:00,6645.884004423282,2284.9482005714303,,
2025-12-21,16:00-20:00,6.4571500293944455,5630.289808476188,,
2025-12-21,20:00-24:00,537.9544446666671,2850.474988666667,,
